"PFT_id","PFT_name","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
1,"Annual_Grassland*",0.66,0.96,0.78,0.94,0.78,0.66,0.71,0.16,0.1,0.13,0.81
3,"Other*",0,1,0,0.98,0,0,NA,0.02,0,0,0.5
4,"Perennial_Grassland*",0,1,NA,1,NA,0,NA,0,0,0,0.5
5,"Pickleweed-Cordgrass-Saltbush*",0.83,0.66,0.73,0.78,0.73,0.83,0.77,0.52,0.43,0.59,0.75
6,"Tule-Cattail*",0.69,0.89,0.73,0.88,0.73,0.69,0.71,0.29,0.2,0.28,0.79
9,"Wet_Meadows*",0,1,NA,0.98,NA,0,NA,0.02,0,0,0.5
