"PFT_id","PFT_name","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
1,"Annual_Grassland*",0.66,0.97,0.79,0.94,0.79,0.66,0.72,0.16,0.1,0.13,0.81
3,"Other*",0,1,NA,0.98,NA,0,NA,0.02,0,0,0.5
4,"Perennial_Grassland*",0,1,NA,1,NA,0,NA,0,0,0,0.5
5,"Pickleweed-Cordgrass-Saltbush*",0.81,0.69,0.73,0.77,0.73,0.81,0.77,0.52,0.42,0.57,0.75
6,"Tule-Cattail*",0.74,0.88,0.72,0.89,0.72,0.74,0.73,0.29,0.21,0.3,0.81
9,"Wet_Meadows*",0,1,NA,0.98,NA,0,NA,0.02,0,0,0.5
