nRMSE_all,nRMSE_beginning,nRMSE_middle,nRMSE_end
0.024162996919333143,0.0229696253299854,0.023233745328015906,0.02256861373472918
0.0040965082251430435,0.004036889116869737,0.0038395669836276715,0.0033853036088702347
0.025170062310051325,0.02418750131105905,0.022458949768030083,0.01801928568297987
0.08629574137514477,0.08629574137514477,0.06215764819325821,0.013881461829485069
0.008393966757399448,0.007958525400593644,0.00810538195736396,0.007963653714098793
0.008478784031287113,0.00782740792519511,0.007342958584913318,0.005722683798257731
0.01171495834418176,0.010118956983862528,0.010729052644937124,0.010353242606767087
0.008178547236575961,0.007396588590026832,0.007634883687811738,0.0073295152368324235
0.010867093766845269,0.01066205029474291,0.010630848789671358,0.010363402307425894
0.011589904895754902,0.011244598256012702,0.011323796778714586,0.01113688718437616
0.016260774947509757,0.014280611762861535,0.012971462525517698,0.008373000866181805
0.03494607098668359,0.03494428465865693,0.024516943959787162,0.00366047623402098
0.007479392567411588,0.006770988968133298,0.00701655092012838,0.006799271224840251
0.013436761565586281,0.01242092270916279,0.012395055051952649,0.011327480881108878
0.033980354032008234,0.03389001105666442,0.03207628158371111,0.02835847966246069
0.012464864695408003,0.009237997813255657,0.010070556614176386,0.008508807333865501
0.005493994572297989,0.00534768960340481,0.004711584362309346,0.00329306891122524
0.0169222475619091,0.016832268084130995,0.016540994207386667,0.01586846697611991
0.012378289916505898,0.012149226941360647,0.011596705278006318,0.010262598976152408
0.01870724815510148,0.017656345135100008,0.016824568079218116,0.014110110947452865
0.019784529721098777,0.014689937251851665,0.017086156003248774,0.01678400103679589
0.037836853859172855,0.03710782390026064,0.03229506992624909,0.021940532019313765
0.017567998037238974,0.016745656586449435,0.016662467310937148,0.01567374730912304
0.0549490075923208,0.042521559013571575,0.050403773554551765,0.053740754057762914
0.02099261400121489,0.020806678308960484,0.020115686322146498,0.01854776665626412
0.01855863413827132,0.01844985398322247,0.017923233821067093,0.01676121334170749
0.02233810314676692,0.02233810314676692,0.016338645087675935,0.004339728969493962
0.012277550745855704,0.012094294347246978,0.011511669378054184,0.010163163041059872
0.023186962148591714,0.022431030986686657,0.017633797449398782,0.007283399212917969
0.018660714474102592,0.018125925580310606,0.015387496084054347,0.009375848197749843
0.02337593569502437,0.022522195333579957,0.019576924146905216,0.012832641412111314
0.01532950735264363,0.0151139487727073,0.015148230310090974,0.015001234804921996
0.00859755692438444,0.007683586816221213,0.007589098430930845,0.006486151552186882
0.010625266433674334,0.01060555821383665,0.009727679560068321,0.007952214032693982
0.031537147138776304,0.031154240034033494,0.026446812322059615,0.01664904979336905
