Cluster,Shannon Diversity
Cluster 1,1.5575334272326926
Cluster 2,0.9213943175780142
Cluster 3,1.1174029772923053
Cluster 4,1.0928067135710844
Cluster 5,1.0111882985151754
Cluster 6,0.9392096820653758
Cluster 7,1.0677395747126113
Cluster 8,1.2515870144470178
Cluster 9,1.1415800127646516
