"","kmenas_KernelPCA_clip_9","phenoshapeAll.1","phenoshapeAll.2","phenoshapeAll.3","phenoshapeAll.4","phenoshapeAll.5","phenoshapeAll.6","phenoshapeAll.7","phenoshapeAll.8","phenoshapeAll.9","phenoshapeAll.10","phenoshapeAll.11","phenoshapeAll.12","phenoshapeAll.13","phenoshapeAll.14","phenoshapeAll.15","phenoshapeAll.16","phenoshapeAll.17","phenoshapeAll.18","phenoshapeAll.19","phenoshapeAll.20","phenoshapeAll.21","phenoshapeAll.22","phenoshapeAll.23","phenoshapeAll.24","phenoshapeAll.25","phenoshapeAll.26","phenoshapeAll.27","phenoshapeAll.28","phenoshapeAll.29","phenoshapeAll.30","phenoshapeAll.31","phenoshapeAll.32","phenoshapeAll.33","phenoshapeAll.34","phenoshapeAll.35","phenoshapeAll.36","phenoshapeAll.37","phenoshapeAll.38","phenoshapeAll.39","phenoshapeAll.40","phenoshapeAll.41","phenoshapeAll.42","phenoshapeAll.43","phenoshapeAll.44","phenoshapeAll.45","phenoshapeAll.46","phenoshapeAll.47","phenoshapeAll.48","phenoshapeAll.49","phenoshapeAll.50","phenoshapeAll.51","phenoshapeAll.52","sos","pos","eos","vsos","vpos","veos","los","msp","mau","vmsp","vmau","ampl","ios","rog","ros","sw","rmse_all","rmse_SOS","rmse_POS","rmse_EOS","dem_10m"
"1",2,-0.195924764890282,-0.359695733345151,-0.195154313301902,-0.114060701400931,-0.0555539988488435,-0.0133064824687312,0.0120642116412791,-0.0394504512597319,-0.197522166054938,-0.209638389746625,-0.261901322435336,-0.269356074883987,-0.219821768053179,-0.0592432974192936,-0.0633706238818307,0.063230573479413,0.133473655861707,0.178281540676263,0.151577773679215,0.18098369456752,0.138247275732767,0.145574889218755,0.144821810734434,0.174321312253446,0.218812638509119,0.207534611344167,0.193726810205232,0.197622158296159,0.192902190610273,0.19845221046061,0.194706481989488,0.200055908674056,0.192336052727117,0.179996171929914,0.156187372579286,0.170627850070829,0.164387760954802,0.168346059631045,0.125420744695786,0.0242623306042931,-0.11833603906321,-0.277028992407979,-0.388937029402824,-0.463879482232083,-0.51534040745504,-0.496816860980239,-0.408639058643736,-0.326620802445578,-0.241424600048389,-0.219159382774567,-0.0126013228343065,-0.521958243340533,96,174,266,-0.0592432974192936,0.218812638509119,0.168346059631045,170,132,223,0.151577773679215,0.200055908674056,0.740770881849652,25.9718402354774,0.0035648196913899,-0.000548549770413846,-2.63675670949176,0.0112236792463359,0.00963017531482741,0.0092605555764732,0.00692781216825632,81
"2",3,0.451511582253632,0.451511582253632,0.51764539386665,0.515787631296848,0.515870694306063,0.551887291535921,0.526695920863693,0.522511935022215,0.542344381612914,0.568061426242595,0.562668972799235,0.605197265550181,0.648502249463583,0.715944763215882,0.815925896507874,0.879395771685249,0.917057460210583,0.971667641746238,1.02109412873097,1.01182050727095,1.06507944338905,1.09098608128441,1.11927580300155,1.12132003971944,1.10265422870999,1.06569669540786,1.06812220077499,0.97933853698483,0.959082867566609,0.943421980988548,0.948113735511604,0.8758998442092,0.873964601383089,0.818849573040916,0.838493684230662,0.740526732387369,0.767387054874485,0.77960064819333,0.762968951679669,0.712149593224195,0.719172332541713,0.660285447293166,0.616487061590887,0.58886858422831,0.5514020021738,0.541438704254965,0.540159401877344,0.541624887527751,0.545161759181435,0.54953544373123,0.555531189718,0.541075467818219,89,167,245,0.648502249463583,1.12132003971944,0.838493684230662,156,125,202,0.971667641746238,0.959082867566609,0.66980845746581,138.125564983459,0.00606176654174178,-0.00362597891652282,-0.443147481529167,0.0122341982943824,0.0118053861055103,0.0103591001571903,0.0070377160716783,1104
"3",7,-0.194931773879142,-0.0554625834164698,0.170225833883753,0.277244963225476,0.331107361575654,0.294716711470469,0.191465853144228,0.107016443069539,0.085800147904393,0.108945974646947,0.140508363535894,0.177981359413988,0.230351245918935,0.270838931972855,0.336003390473829,0.44235694754395,0.55336284092541,0.667805771145912,0.727345071725519,0.673341037283512,0.721031353606529,0.70698320807163,0.62910406014638,0.554322029888885,0.586833050995871,0.566188918037078,0.610627919040654,0.660602797024697,0.721345318682034,0.710730516398303,0.627342902668071,0.56474287576844,0.551787814976401,0.505072686743354,0.486827545146434,0.41389310279989,0.368556212433592,0.304019104574534,0.210676971751822,0.053893514619814,0.0827920330628531,0.0346365014490702,-0.031633954874601,-0.0148870665218255,0.0892644488053573,0.0893752928881511,0.0918020385840736,0.0970526514289586,0.0835787143943,0.042584759825211,-0.0199017615176152,-0.0644934333958724,75,132,259,0.140508363535894,0.727345071725519,0.368556212433592,184,103,195,0.336003390473829,0.660602797024697,0.922276845604661,94.9127326790219,0.010295380845432,-0.00282510912828289,-0.928005460150472,0.0105587359990477,0.0102293758910194,0.00960733113507204,0.00803388151514899,313
"4",5,0.854310887350535,0.850146531641987,1.05952867803727,1.15522356961367,1.21405873033153,1.33326847566486,1.30083756839104,1.32159629118045,1.37434956696154,1.40388016442921,1.43874856308795,1.51718774565916,1.52741400362768,1.55528935054128,1.5122481159838,1.43710315050361,1.18739545334282,0.984462480056704,0.721992988016452,0.618962371326549,0.437623114009137,0.404146264070452,0.37451596235693,0.348516090450224,0.297074294823028,0.287866143495961,0.284007940979809,0.293902349073579,0.29689957529374,0.295063553236143,0.311870396165863,0.315166889218131,0.31261429410693,0.30967695771947,0.326940020812293,0.317205373888609,0.317036166828439,0.327345420756731,0.341048222890997,0.328514441989692,0.344276793902286,0.350672460814653,0.353215671856209,0.345152990767252,0.335004432367714,0.327999987191014,0.34007935294376,0.374227376149013,0.48509512925927,0.484755489521461,0.876420458912496,0.266432398179619,54,96,160,1.32159629118045,1.55528935054128,0.37451596235693,106,75,125,1.43874856308795,0.984462480056704,1.28885695236166,107.706816879402,0.00556412046097208,-0.0184495841903805,-0.726630586599291,0.00778930196394495,0.00672876454967547,0.00662450908560579,0.00535546074319696,2792
"5",2,0.346153846153846,0.626669885723483,0.239610273209741,0.183580816018009,0.0888361829337161,0.271195157555652,0.277789603318044,0.261878491597866,0.341087233772728,0.391352706220315,0.344351057988592,0.353681977196365,0.415528683251879,0.370685690797182,0.310546477433027,0.255489053721257,0.222307053967776,0.191080736597937,0.177551407749012,0.180386955483718,0.174061389902896,0.155690303873132,0.149720109695578,0.14894207512486,0.149171807112793,0.149321142812564,0.174988717296058,0.184509747328497,0.200819694095749,0.220628617229293,0.229374865274299,0.229076739686929,0.2263818741604,0.219462050298359,0.221783934107077,0.231559341844214,0.246818496477446,0.292443140647302,0.271825695550203,0.169418768495705,-0.00517341086908682,-0.136801581990099,-0.305760257272132,-0.383699938017146,-0.444406016080117,-0.43784272428259,-0.480397619951638,-0.356623910284956,-0.204254146276534,-0.091886862550142,0.482312297055393,-0.0241701579116984,5,12,153,0.346153846153846,0.626669885723483,0.155690303873132,148,5,82,0.346153846153846,0.353681977196365,1.10706750567512,37.1478302716649,0.0400737199385196,-0.00334028072234291,1.05230846269077,0.00902289229050302,0.00902289229050302,0.00732164746674385,0.00391915781922552,-604
"6",3,0.558010423748017,0.56276968316004,0.570248519378933,0.555044739714076,0.563272501297456,0.567895079351718,0.55793403786419,0.560089565479316,0.568759615189585,0.580007653261703,0.627036979595509,0.734156955589686,0.849842485828013,0.93043922450289,0.982815332770554,1.00029098858568,0.96350780094984,0.899537634295428,0.884461536171565,0.930148540455861,0.884648170736134,0.916973032650558,0.890010181423213,0.879042033273937,0.847514908343723,0.840820576517075,0.785743471353571,0.868587898338014,0.85077078580915,0.816484788732624,0.912850265272727,0.984458438281696,1.00675996834936,1.00910541062337,1.07522142688705,0.968684968368912,0.937649461711852,0.775881930453926,0.779454904585286,0.707163802447098,0.687296396220126,0.700124701351212,0.721548434201176,0.686937095136278,0.622838311545443,0.628355728255702,0.529840379185124,0.528380323882465,0.519495401032811,0.518795334576429,0.521129445793528,0.466528954555003,103,245,301,0.982815332770554,1.07522142688705,0.721548434201176,198,174,273,0.847514908343723,0.779454904585286,0.608692472332047,162.644589376922,0.000650747141665467,-0.00631558915510491,-0.260970583672295,0.0299926963371668,0.0292637809516474,0.0284005699540716,0.0259452325734005,902
"7",2,-0.101169064748201,-0.267171172055144,-0.325127176116473,-0.282787527226145,-0.238581757086673,-0.195836016779031,-0.137435192223081,-0.1400850481398,-0.183775170719814,-0.151524703782987,-0.0591858158539304,0.0442222851022675,0.183977102238898,0.265176632825266,0.225293736716824,0.0993978724032571,-0.0385265290011702,-0.174193980414741,-0.286074397378663,-0.281316302092793,-0.127892541491782,0.0270605390079107,0.142143506162496,0.231410991159263,0.277775065621322,0.237489517318908,0.205201412947728,0.205780369015127,0.217034844967237,0.240166905314099,0.242394760499553,0.240937956301767,0.259759651225566,0.301598796669717,0.303266518907663,0.331431355266721,0.372905510612785,0.341564610321165,0.220645724862656,0.0731872546276525,-0.0261887160235142,-0.208151303875898,-0.29540106494248,-0.231386899650129,-0.167346546309111,-0.154993363983125,-0.102187453973004,-0.0589896569716071,-0.134990115130482,-0.228644979149582,-0.214046224744418,-0.590059610117609,153,259,301,0.0270605390079107,0.372905510612785,-0.29540106494248,148,209,280,0.240166905314099,0.0731872546276525,0.962965120730394,30.0059430730997,0.00326268841136674,-0.0159120613227444,-1.77762235906979,0.00915955462133235,0.00768887082217219,0.0076493070610992,0.00609949573979304,-35
"8",2,0.468716230819105,0.459826266354566,0.454344121601434,0.446935817880984,0.411818591852582,0.377906830956333,0.34150420026914,0.29010427917645,0.24139258530599,0.224515099153045,0.191926262861531,0.186806409972674,0.196065594240267,0.192478905627451,0.188486084749437,0.196544463757997,0.190211162173983,0.181187705064169,0.180906193720081,0.173929130871609,0.178578766782685,0.171684191273105,0.155993921305289,0.156204916093538,0.15589800666757,0.151400832391172,0.154401218847056,0.164046711462661,0.167478503070461,0.168403498721888,0.216033269796729,0.20657072605808,0.211603684506343,0.214031464307817,0.227680407415963,0.18869624157151,0.302450555000903,0.450965843885877,0.452708411311455,0.450388041020533,0.521231511660455,0.542424342845862,0.507525236322427,0.562429213289973,0.459190483276829,0.317870784072713,0.0632464356492632,-0.222867405329266,-0.442889402827569,-0.444673396972784,-0.617749191458241,-0.320377038762974,216,308,329,0.216033269796729,0.562429213289973,0.0632464356492632,113,259,315,0.302450555000903,0.459190483276829,1.18017840474821,37.6956792762313,0.00376517329883961,-0.0237706084590814,-0.119058548476786,0.015092813484585,0.0148840888269516,0.0148861722666509,0.0146816144884162,1168
"9",2,-0.145100716968249,-0.231218658718267,-0.272426385477688,-0.21938015661982,-0.204193393620051,-0.180983980603418,-0.112535945942091,-0.0776043829211994,-0.166492572573365,-0.130387960497402,-0.132792936561623,-0.145155645686321,-0.120457215795778,-0.0144216782381163,0.0493814944085498,0.174845905783164,0.298679338435629,0.402322313995024,0.469073648522686,0.499357616603921,0.513038377491035,0.543773721621023,0.638208815285199,0.687656823837926,0.744175767893293,0.876169369428411,0.908301952598502,0.846033066851071,0.927771768061596,0.922610548853979,0.856070181700115,0.815399054189469,0.800353464535309,0.680532619545717,0.695321829277208,0.626155075126715,0.673483002336366,0.550293138079642,0.443435646179356,0.253322676567339,0.117863958816951,-0.101839544458276,-0.161271286112513,-0.21050328479003,-0.214267586688461,-0.219405525251484,-0.240561373775374,-0.167247075012837,-0.196455593653667,-0.2050222029446,-0.33003688273798,-0.185810810810811,110,202,273,0.174845905783164,0.927771768061596,0.443435646179356,163,153,237,0.543773721621023,0.680532619545717,1.25780865079958,102.890494842712,0.00818397676389601,-0.00682163551946817,-0.335671387932769,0.00626025277660988,0.00503258534855443,0.00519636781198897,0.00429626531080258,244
"10",2,-0.264350453172205,-0.206496530149941,-0.151159063241301,-0.12369914661879,-0.118056533160823,-0.102587173217243,-0.107426496009621,-0.185902834890226,-0.228848109209619,-0.244883281947099,-0.292380873869189,-0.330852984399129,-0.293132899813378,-0.21951706221325,-0.192610104821988,-0.109889404813407,0.0111242433041456,0.124460056714605,0.175303497150015,0.250094009312904,0.27576332644583,0.264509464579592,0.255326561778088,0.235953734376897,0.22168802253484,0.179029640789559,0.182621719312532,0.193159475155596,0.234732723066332,0.257421091347177,0.27905510855753,0.272403394585461,0.244672635386442,0.203781150341264,0.172273740384715,0.181929886937242,0.171345860971695,0.167881718890891,0.164476582717241,0.174353822635677,0.182602140718217,0.188480294499496,0.11194444995779,0.0789788164988328,0.0642471555052267,0.0414669619872653,-0.0666907742637492,-0.0537649455362674,-0.0820268714671471,-0.162133587906164,-0.136099651974522,-0.290201433936497,110,216,301,-0.109889404813407,0.27905510855753,0.11194444995779,191,160,259,0.255326561778088,0.171345860971695,0.609908092956659,36.4083110305175,0.00366928786198997,-0.00196600774823222,-1.21634662582301,0.00535674037620544,0.00463715412240977,0.00399045244560169,0.00197746283818985,855
